name,department,title
"Asudeh, Abolfazl",Department of Computer Science,Associate Professor
"Sintos, Stavros",Department of Computer Science,Assistant Professor
"Ayala, Daniel",Department of Computer Science,Clinical Assistant Professor
"DasGupta, Bhaskar",Department of Computer Science,Professor
"Wolfson, Ouri",Department of Computer Science,Richard and Loan Hill Professor
"Bandy, Jack",Department of Computer Science,Clinical Assistant Professor
"Bernstein, Daniel J.",Department of Computer Science,Research Professor
"Block, Alexander R",Department of Computer Science,Assistant Professor
"Boorboor, Saeed",Department of Computer Science,Assistant Professor
"Caragea, Cornelia",Department of Computer Science,Robert V. Kenyon Professor in Computer Science
"Parde, Natalie",Department of Computer Science,Associate Professor
"Di Eugenio, Barbara",Department of Computer Science,Collegiate Warren S. McCulloch Professor of Computer Science
"Yadav, Shweta",Computer Science,Assistant Professor
"Zheleva, Elena",Department of Computer Science,Associate Professor
"Chakraborti, Anrin",Department of Computer Science,Assistant Professor
"Chattopadhyay, Debaleena",Department of Computer Science,Assistant Professor
"Chen, Hao",Department of Computer Science,Assistant Professor
"Cheng, Lu",Department of Computer Science,Assistant Professor
"Yu, Philip S.",Department of Computer Science,Distinguished Professor
"Li, Baoxin",Department of Computer Science,Professor and Department Head
"Curry, Michael J",Department of Computer Science,Assistant Professor
"Sidiropoulos, Anastasios",Department of Computer Science,Associate Professor
"Marai, G. Elisabeta",Department of Computer Science,Professor
"Johnson, Andrew",Department of Computer Science,Professor Emeritus
"Ziebart, Brian",Department of Computer Science,Professor
"Liu, Bing",Department of Computer Science,Peter L. and Deborah K. Wexler Professor of Computing
"Diaz, Diana",Department of Computer Science,Clinical Assistant Professor
"Eriksson, Jakob",Department of Computer Science,Associate Professor
"Glavic, Boris",Department of Computer Science,Associate Professor
"Gmytrasiewicz, Piotr",Department of Computer Science,Associate Professor
"Grechanik, Mark",Department of Computer Science,Associate Professor
"Papka, Michael E.","Deputy Associate Laboratory Director, Computing, Environment, and Life Sciences, Argonne National Laboratory",Collegiate Warren S. McCulloch Professor of Computer Science
"Kanich, Chris",Department of Computer Science,Professor and Associate Dean of Engineering for Faculty Affairs
"Polakis, Jason",Department of Computer Science,Associate Professor
"Zuck, Lenore",Department of Computer Science,Research Professor
"Kash, Ian",Department of Computer Science,Associate Professor
"Medya, Sourav",Department of Computer Science,Assistant Professor
"Kerne, Andruid",Department of Computer Science,Professor
"Kshemkalyani, Ajay",Department of Computer Science,Professor
"Kumar, Sidharth",Department of Computer Science,Associate Professor
"Lan, Zhiling",Department of Computer Science,Professor
"Lillis, John",Department of Computer Science,Associate Professor
"Luo, Wenhao",Department of Computer Science,Assistant Professor
"Zhang, Xinhua",Department of Computer Science,Associate Professor and Director of Graduate Studies
"Michaelis, Joseph E",Department of Computer Science,Assistant Professor
"Miranda, Fabio",Department of Computer Science,Assistant Professor
"Maratos, George",Department of Computer Science,Lecturer
"Mordahl, Austin",Department of Computer Science,Assistant Professor
"Ravi, Sathya",Department of Computer Science,Assistant Professor
"Pina, Luis",Department of Computer Science,Assistant Professor
"Reckinger, Shanon",Department of Computer Science,Clinical Associate Professor and Director of Undergraduate Studies
"Reed, Dale",Department of Computer Science,Clinical Professor
"Riazi, Sara",Department of Computer Science,Clinical Assistant Professor
"Rooshenas, Pedram",Department of Computer Science,Assistant Professor
"Saha, Aadirupa",Department of Computer Science,Assistant Professor
"Sistla, Aravinda Prasad",Department of Computer Science,Professor
"Sloan, Robert",Department of Computer Science,Professor
"Soni, Nikita",Department of Computer Science,Assistant Professor
"Sun, Xiaorui",Department of Computer Science,Associate Professor
"Tang, Wei",Department of Computer Science,Assistant Professor
"Tizpaz-Niari, Saeid",Department of Computer Science,Assistant Professor
"Vamanan, Balajee",Department of Computer Science,Associate Professor
"Wang, Xiaoguang",Department of Computer Science,Assistant Professor
"Yan, Yan",Department of Computer Science,Associate Professor
"Zhu, Yifan",Department of Computer Science,Assistant Professor
